DICTYBASE ID	GENE NAME	RELIABILITY	SCORE
DDB0215336	hatB	RELIABLE	0.852
DDB0232313	hatC	RELIABLE	1.557
DDB0189737	JC1V2_0_00547	TWILIGHT ZONE	-1.311
DDB0190073	JC1V2_0_00903	TWILIGHT ZONE	-0.588
DDB0190303	JC1V2_0_01149	TWILIGHT ZONE	-0.21
DDB0190316	JC1V2_0_01163	TWILIGHT ZONE	-0.369
DDB0190486	JC1V2_0_01345	RELIABLE	1.064
DDB0201966	JC1V2_0_01719	TWILIGHT ZONE	-0.007
DDB0215064	JC2V2_0_00202	RELIABLE	1.837
DDB0168691	JC2V2_0_00538	RELIABLE	2.644
DDB0168714	JC2V2_0_00574	RELIABLE	3.476
DDB0168886	JC2V2_0_00756	TWILIGHT ZONE	-1.301
DDB0217322	JC2V2_0_01361	RELIABLE	1.625
DDB0217470	JC2V2_0_01529	RELIABLE	0.777
DDB0217473	JC2V2_0_01533	TWILIGHT ZONE	-1.621
DDB0203841	JC2V2_0_02678	TWILIGHT ZONE	-0.946
DDB0202917	JC2V2_0_02825	RELIABLE	3.317
DDB0218006	JC2V2_0_03276	RELIABLE	2.246
DDB0205459	JC3V2_0_00361	RELIABLE	1.315
DDB0205492	JC3V2_0_00392	TWILIGHT ZONE	-0.343
DDB0205514	JC3V2_0_00413	RELIABLE	2.958
DDB0205036	JC3V2_0_00641	RELIABLE	3.368
DDB0204006	JC3V2_0_01621	RELIABLE	0.296
DDB0204082	JC3V2_0_01698	TWILIGHT ZONE	-0.015
DDB0218299	JC3V2_0_01756	RELIABLE	2.037
DDB0204220	JC3V2_0_02282	RELIABLE	0.493
DDB0204967	JC3V2_0_02492	RELIABLE	0.494
DDB0215098	JF2V1_0C0009_06922	TWILIGHT ZONE	-0.914
DDB0215361	lrrA	RELIABLE	1.837
DDB0231499	lvsG	RELIABLE	3.603
DDB0191336	mkpA	RELIABLE	0.67
DDB0191365	pkgB	RELIABLE	2.766
DDB0232964	psmC1	RELIABLE	2.889
DDB0185117	ptpA1	RELIABLE	1.625
DDB0191203	rab1C	RELIABLE	4.263
DDB0233188	rabZ	RELIABLE	0.94
DDB0229437	rapB	TWILIGHT ZONE	-0.036
DDB0191519	rsc6	TWILIGHT ZONE	-1.512
DDB0229978	rsmA	RELIABLE	2.287
DDB0191483	splB	RELIABLE	3.994
DDB0232145	vilD	RELIABLE	2.421
DDB0216334	vps15	TWILIGHT ZONE	-0.209
DDB0220001	wrky1	TWILIGHT ZONE	-0.73
