dictyBase ID	CRC64	Length	Database	Domain ID	Domain Name	Start	End	Score	Status	Date	InterPro ID	InterPro Name
DDB0185015	3610737F3B525123	377	PRINTS	PR00190	ACTIN	140	160	  6.9E-58	T	18-MAY-13	IPR004000	Actin-related protein
DDB0185015	3610737F3B525123	377	PRINTS	PR00190	ACTIN	236	253	  6.9E-58	T	18-MAY-13	IPR004000	Actin-related protein
DDB0185015	3610737F3B525123	377	GENE3D	G3DSA:3.30.420.40	G3DSA:3.30.420.40	257	374	  4.8E-41	T	18-MAY-13		
DDB0185015	3610737F3B525123	377	GENE3D	G3DSA:3.30.420.40	G3DSA:3.30.420.40	3	187	  7.1E-79	T	18-MAY-13		
DDB0185015	3610737F3B525123	377	PRINTS	PR00190	ACTIN	61	84	  6.9E-58	T	18-MAY-13	IPR004000	Actin-related protein
DDB0185015	3610737F3B525123	377	PRINTS	PR00190	ACTIN	49	61	  6.9E-58	T	18-MAY-13	IPR004000	Actin-related protein
DDB0185020	6E18982848159037	701	GENE3D	G3DSA:3.40.50.200	G3DSA:3.40.50.200	298	698	  5.1E-88	T	18-MAY-13	IPR000209	Peptidase S8/S53 domain
DDB0185020	6E18982848159037	701	PANTHER	PTHR14218	PROTEASE S8 TRIPEPTIDYL PEPTIDASE I (CLN2)	3	697	   .0E+00	T	18-MAY-13		
DDB0185020	6E18982848159037	701	PFAM	PF00082	Peptidase_S8	376	621	  2.2E-07	T	18-MAY-13	IPR000209	Peptidase S8/S53 domain
DDB0185020	6E18982848159037	701	PROSITE	PS00138	SUBTILASE_SER	603	614		T	18-MAY-13	IPR023828	Peptidase S8, subtilisin, Ser-active site
DDB0185020	6E18982848159037	701	SMART	SM00944	Pro-kumamolisin, activation domain	29	175	  7.7E-35	T	18-MAY-13	IPR015366	Peptidase S53, propeptide
DDB0185020	6E18982848159037	701	PFAM	PF09286	Pro-kuma_activ	38	175	  7.4E-27	T	18-MAY-13	IPR015366	Peptidase S53, propeptide
DDB0185020	6E18982848159037	701	PANTHER	PTHR14218:SF5	SUBFAMILY NOT NAMED	3	697	   .0E+00	T	18-MAY-13		
DDB0185020	6E18982848159037	701	SignalP	SignalP-NN(euk)	signal-peptide	0	19		?	18-MAY-13		
DDB0185020	6E18982848159037	701	SSF	SSF54897	Protease propeptides/inhibitors	19	200	  1.8E-20	T	18-MAY-13	IPR009020	Proteinase inhibitor, propeptide
DDB0185020	6E18982848159037	701	SSF	SSF52743	Subtilisin-like	291	700	  4.3E-60	T	18-MAY-13	IPR000209	Peptidase S8/S53 domain
DDB0185022	864B3AA2D2FBFC02	334	GENE3D	G3DSA:2.60.60.30	G3DSA:2.60.60.30	158	327	  5.8E-59	T	18-MAY-13		
DDB0185022	864B3AA2D2FBFC02	334	PFAM	PF02342	TerD	199	327	  3.2E-41	T	18-MAY-13	IPR003325	Bacterial stress protein
DDB0185022	864B3AA2D2FBFC02	334	PANTHER	PTHR32097:SF1	SUBFAMILY NOT NAMED	140	333	   .0E+00	T	18-MAY-13		
DDB0185022	864B3AA2D2FBFC02	334	PANTHER	PTHR32097	FAMILY NOT NAMED	140	333	   .0E+00	T	18-MAY-13		
DDB0185023	234193FF58509863	288	GENE3D	G3DSA:2.60.60.30	G3DSA:2.60.60.30	110	280	  5.4E-61	T	18-MAY-13		
DDB0185023	234193FF58509863	288	PANTHER	PTHR32097	FAMILY NOT NAMED	92	283	 8.9E-119	T	18-MAY-13		
DDB0185023	234193FF58509863	288	PFAM	PF02342	TerD	151	279	  8.2E-43	T	18-MAY-13	IPR003325	Bacterial stress protein
DDB0185023	234193FF58509863	288	PANTHER	PTHR32097:SF1	SUBFAMILY NOT NAMED	92	283	 8.9E-119	T	18-MAY-13		
DDB0185025	49DE7A7F39E1ED12	338	GENE3D	G3DSA:1.10.510.10	G3DSA:1.10.510.10	119	334	  1.0E-53	T	18-MAY-13		
DDB0185025	49DE7A7F39E1ED12	338	SMART	SM00219	Tyrosine kinase, catalytic domain	46	332	  2.2E-07	T	18-MAY-13	IPR020635	Tyrosine-protein kinase, catalytic domain
DDB0185025	49DE7A7F39E1ED12	338	PFAM	PF00069	Pkinase	46	332	  2.1E-62	T	18-MAY-13	IPR000719	Protein kinase, catalytic domain
DDB0185025	49DE7A7F39E1ED12	338	PANTHER	PTHR24054	CASEIN KINASE II SUBUNIT ALPHA	14	334	   .0E+00	T	18-MAY-13		
DDB0185025	49DE7A7F39E1ED12	338	GENE3D	G3DSA:3.30.200.20	G3DSA:3.30.200.20	33	119	  1.6E-40	T	18-MAY-13		
DDB0185025	49DE7A7F39E1ED12	338	SMART	SM00220	Serine/Threonine protein kinases, catalytic	46	332	  6.7E-75	T	18-MAY-13	IPR002290	Serine/threonine- / dual specificity protein kinase, catalytic  domain
DDB0185025	49DE7A7F39E1ED12	338	SSF	SSF56112	Protein kinase-like (PK-like)	9	334	  5.4E-76	T	18-MAY-13	IPR011009	Protein kinase-like domain
DDB0185025	49DE7A7F39E1ED12	338	PROFILE	PS50011	PROTEIN_KINASE_DOM	46	332	  4.3E+01	T	18-MAY-13	IPR000719	Protein kinase, catalytic domain
DDB0185025	49DE7A7F39E1ED12	338	PROSITE	PS00108	PROTEIN_KINASE_ST	159	172		T	18-MAY-13	IPR008271	Serine/threonine-protein kinase, active site
DDB0185025	49DE7A7F39E1ED12	338	PROSITE	PS00107	PROTEIN_KINASE_ATP	52	76		T	18-MAY-13	IPR017441	Protein kinase, ATP binding site
DDB0185026	CF14324E5DC7D775	157	GENE3D	G3DSA:1.10.238.10	G3DSA:1.10.238.10	6	56	  1.0E-09	T	18-MAY-13	IPR011992	EF-hand-like domain
DDB0185026	CF14324E5DC7D775	157	GENE3D	G3DSA:1.10.238.10	G3DSA:1.10.238.10	93	150	  8.1E-09	T	18-MAY-13	IPR011992	EF-hand-like domain
DDB0185026	CF14324E5DC7D775	157	GENE3D	G3DSA:1.10.238.10	G3DSA:1.10.238.10	56	93	  1.3E-07	T	18-MAY-13	IPR011992	EF-hand-like domain
DDB0185026	CF14324E5DC7D775	157	PANTHER	PTHR26263	FAMILY NOT NAMED	0	129	 1.5E-106	T	18-MAY-13		
DDB0185026	CF14324E5DC7D775	157	SSF	SSF47473	EF-hand	1	155	  1.2E-19	T	18-MAY-13		
DDB0185026	CF14324E5DC7D775	157	PROFILE	PS50222	EF_HAND_2	117	153	  1.0E+01	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185026	CF14324E5DC7D775	157	PROFILE	PS50222	EF_HAND_2	79	115	  1.0E+01	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185026	CF14324E5DC7D775	157	PROFILE	PS50222	EF_HAND_2	39	75	  8.5E+00	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185026	CF14324E5DC7D775	157	PROFILE	PS50222	EF_HAND_2	3	39	  1.2E+01	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185026	CF14324E5DC7D775	157	PROSITE	PS00018	EF_HAND_1	130	143		T	18-MAY-13	IPR018247	EF-Hand 1, calcium-binding site
DDB0185026	CF14324E5DC7D775	157	PROSITE	PS00018	EF_HAND_1	92	105		T	18-MAY-13	IPR018247	EF-Hand 1, calcium-binding site
DDB0185026	CF14324E5DC7D775	157	PROSITE	PS00018	EF_HAND_1	52	65		T	18-MAY-13	IPR018247	EF-Hand 1, calcium-binding site
DDB0185026	CF14324E5DC7D775	157	SMART	SM00054	EF-hand, calcium binding motif	121	150	  3.2E+00	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185026	CF14324E5DC7D775	157	SMART	SM00054	EF-hand, calcium binding motif	83	112	  2.1E+01	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185026	CF14324E5DC7D775	157	SMART	SM00054	EF-hand, calcium binding motif	43	72	  1.7E+01	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185026	CF14324E5DC7D775	157	SMART	SM00054	EF-hand, calcium binding motif	7	36	  6.5E-03	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185026	CF14324E5DC7D775	157	PFAM	PF13499	EF_hand_5	47	108	  5.2E-09	T	18-MAY-13	IPR011992	EF-hand-like domain
DDB0185026	CF14324E5DC7D775	157	PFAM	PF13202	EF_hand_3	9	29	  3.6E-05	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185026	CF14324E5DC7D775	157	PANTHER	PTHR26263:SF49	SUBFAMILY NOT NAMED	0	129	 1.5E-106	T	18-MAY-13		
DDB0185027	AF0BCF63C7FFCF8F	164	PROFILE	PS50222	EF_HAND_2	81	117	  9.2E+00	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185027	AF0BCF63C7FFCF8F	164	PROFILE	PS50222	EF_HAND_2	117	153	  1.1E+01	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185027	AF0BCF63C7FFCF8F	164	PROFILE	PS50222	EF_HAND_2	19	42	  6.5E+00	T	18-MAY-13	IPR002048	EF-hand domain
DDB0185027	AF0BCF63C7FFCF8F	164	PROSITE	PS00018	EF_HAND_1	130	143		T	18-MAY-13	IPR018247	EF-Hand 1, calcium-binding site
DDB0185027	AF0BCF63C7FFCF8F	164	PROSITE	PS00018	EF_HAND_1	94	107		T	18-MAY-13	IPR018247	EF-Hand 1, calcium-binding site
DDB0185027	AF0BCF63C7FFCF8F	164	PFAM	PF13499	EF_hand_5	91	144	  8.2E-07	T	18-MAY-13	IPR011992	EF-hand-like domain
DDB0185027	AF0BCF63C7FFCF8F	164	PANTHER	PTHR26295:SF0	SUBFAMILY NOT NAMED	0	163	  6.1E-54	T	18-MAY-13		
DDB0185027	AF0BCF63C7FFCF8F	164	PANTHER	PTHR26295	FAMILY NOT NAMED	0	163	  6.1E-54	T	18-MAY-13		
DDB0185027	AF0BCF63C7FFCF8F	164	GENE3D	G3DSA:1.10.238.10	G3DSA:1.10.238.10	11	153	  5.9E-14	T	18-MAY-13	IPR011992	EF-hand-like domain
DDB0185027	AF0BCF63C7FFCF8F	164	SSF	SSF47473	EF-hand	4	150	  1.9E-14	T	18-MAY-13		
DDB0185032	A6892B390EF8E6C3	601	PANTHER	PTHR24032	FAMILY NOT NAMED	139	389	  8.6E-12	T	18-MAY-13		
DDB0185032	A6892B390EF8E6C3	601	PANTHER	PTHR24032:SF3	SUBFAMILY NOT NAMED	139	389	  8.6E-12	T	18-MAY-13		
DDB0185032	A6892B390EF8E6C3	601	SignalP	SignalP-NN(euk)	signal-peptide	0	20		?	18-MAY-13		
DDB0185032	A6892B390EF8E6C3	601	PROFILE	PS51257	PROKAR_LIPOPROTEIN	0	23	  5.0E+00	T	18-MAY-13		
DDB0185032	A6892B390EF8E6C3	601	SMART	SM00274	Follistatin-N-terminal domain-like	393	416	  2.1E-03	T	18-MAY-13	IPR003645	Follistatin-like, N-terminal
DDB0185032	A6892B390EF8E6C3	601	SMART	SM00274	Follistatin-N-terminal domain-like	330	359	  4.8E-03	T	18-MAY-13	IPR003645	Follistatin-like, N-terminal
DDB0185032	A6892B390EF8E6C3	601	SMART	SM00274	Follistatin-N-terminal domain-like	296	319	  5.6E-07	T	18-MAY-13	IPR003645	Follistatin-like, N-terminal
DDB0185032	A6892B390EF8E6C3	601	SMART	SM00274	Follistatin-N-terminal domain-like	266	289	  1.4E-07	T	18-MAY-13	IPR003645	Follistatin-like, N-terminal
DDB0185032	A6892B390EF8E6C3	601	SMART	SM00274	Follistatin-N-terminal domain-like	219	243	  1.6E-06	T	18-MAY-13	IPR003645	Follistatin-like, N-terminal
DDB0185032	A6892B390EF8E6C3	601	SMART	SM00274	Follistatin-N-terminal domain-like	183	206	  3.4E-06	T	18-MAY-13	IPR003645	Follistatin-like, N-terminal
DDB0185032	A6892B390EF8E6C3	601	PFAM	PF04562	Dicty_spore_N	20	139	  4.2E-29	T	18-MAY-13	IPR007643	Dictyostelium spore coat protein, N-terminal
DDB0185034	7AEADBC0515CA890	103	PFAM	PF05720	Dicty_CAD	7	87	  1.7E-41	T	18-MAY-13	IPR008601	Cell-cell adhesion
DDB0185038	4BB546254BF7EF16	1226	PRINTS	PR00344	BCTRLSENSOR	571	586	  2.3E-09	T	18-MAY-13	IPR004358	Signal transduction histidine kinase-related protein, C-terminal
DDB0185038	4BB546254BF7EF16	1226	PRINTS	PR00344	BCTRLSENSOR	636	650	  2.3E-09	T	18-MAY-13	IPR004358	Signal transduction histidine kinase-related protein, C-terminal
DDB0185038	4BB546254BF7EF16	1226	GENE3D	G3DSA:3.40.50.2300	G3DSA:3.40.50.2300	663	787	  1.5E-07	T	18-MAY-13		
DDB0185038	4BB546254BF7EF16	1226	GENE3D	G3DSA:3.30.565.10	G3DSA:3.30.565.10	484	655	  2.0E-37	T	18-MAY-13	IPR003594	Histidine kinase-like ATPase, ATP-binding domain
DDB0185038	4BB546254BF7EF16	1226	GENE3D	G3DSA:1.10.287.130	G3DSA:1.10.287.130	421	480	  1.4E-09	T	18-MAY-13	IPR009082	Signal transduction histidine kinase, homodimeric domain
DDB0185038	4BB546254BF7EF16	1226	PRINTS	PR00344	BCTRLSENSOR	607	626	  2.3E-09	T	18-MAY-13	IPR004358	Signal transduction histidine kinase-related protein, C-terminal
DDB0185038	4BB546254BF7EF16	1226	GENE3D	G3DSA:3.40.50.2300	G3DSA:3.40.50.2300	1074	1199	  1.1E-31	T	18-MAY-13		
DDB0185038	4BB546254BF7EF16	1226	SSF	SSF55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase	483	657	  1.7E-38	T	18-MAY-13	IPR003594	Histidine kinase-like ATPase, ATP-binding domain
DDB0185038	4BB546254BF7EF16	1226	SSF	SSF52172	CheY-like	660	791	  1.8E-11	T	18-MAY-13	IPR011006	CheY-like superfamily
DDB0185038	4BB546254BF7EF16	1226	SSF	SSF52172	CheY-like	1073	1199	  6.8E-31	T	18-MAY-13	IPR011006	CheY-like superfamily
DDB0185038	4BB546254BF7EF16	1226	SSF	SSF47384	Homodimeric domain of signal transducing histidine kinase	421	486	  3.9E-13	T	18-MAY-13	IPR009082	Signal transduction histidine kinase, homodimeric domain
DDB0185038	4BB546254BF7EF16	1226	TMHMM	tmhmm	transmembrane_regions	6	27		?	18-MAY-13		
DDB0185038	4BB546254BF7EF16	1226	SignalP	SignalP-NN(euk)	signal-peptide	0	25		?	18-MAY-13		
DDB0185038	4BB546254BF7EF16	1226	PROFILE	PS50110	RESPONSE_REGULATORY	1077	1200	  2.7E+01	T	18-MAY-13	IPR001789	Signal transduction response regulator, receiver domain
DDB0185038	4BB546254BF7EF16	1226	PROFILE	PS50110	RESPONSE_REGULATORY	668	784	  9.8E+00	T	18-MAY-13	IPR001789	Signal transduction response regulator, receiver domain
DDB0185038	4BB546254BF7EF16	1226	PROFILE	PS50109	HIS_KIN	425	653	  4.2E+01	T	18-MAY-13	IPR005467	Signal transduction histidine kinase, core
DDB0185038	4BB546254BF7EF16	1226	SMART	SM00448	cheY-homologous receiver domain	1076	1196	  7.5E-33	T	18-MAY-13	IPR001789	Signal transduction response regulator, receiver domain
DDB0185038	4BB546254BF7EF16	1226	SMART	SM00388	His Kinase A (phosphoacceptor) domain	418	484	  6.0E-15	T	18-MAY-13	IPR003661	Signal transduction histidine kinase, subgroup 1, dimerisation/phosphoacceptor domain
DDB0185038	4BB546254BF7EF16	1226	SMART	SM00387	Histidine kinase-like ATPases	530	653	  4.0E-35	T	18-MAY-13	IPR003594	Histidine kinase-like ATPase, ATP-binding domain
DDB0185038	4BB546254BF7EF16	1226	PFAM	PF02518	HATPase_c	530	652	  1.1E-24	T	18-MAY-13	IPR003594	Histidine kinase-like ATPase, ATP-binding domain
